GRP,ITEMID,ITEMDESC,WHCode,WHName,WHRegion,Desc3,ItemOrder1,ItemOrder2,ClipBd,Company,QtyOnHand,QtyOnPO,QtyOnSO,QtyAvailable
Winery Equipment,8477,Circuit Board for TD9-TD33,AKD01,Kauri Warehouse,AKD,,348,0,Steamer Spare Parts,Kauri New Zealand Ltd,8,0,0,8
Winery Equipment,8477,Circuit Board for TD9-TD33,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,348,0,Steamer Spare Parts,Kauri New Zealand Ltd,6,0,0,6
Winery Equipment,8477,Circuit Board for TD9-TD33,WOFF,Wellington Office,WOFF,,348,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,8479,Thermosensor Open 150celcius +/- 11,AKD01,Kauri Warehouse,AKD,,1200,0,Steamer Spare Parts,Kauri New Zealand Ltd,8,0,0,8
Winery Equipment,8479,Thermosensor Open 150celcius +/- 11,AKD01,Kauri Warehouse,AKD,Thermosensor Open 150celcius +/- 11,1200,1200,Steamer Spare Parts,Kauri New Zealand Ltd,0,1,0,1
Winery Equipment,8479,Thermosensor Open 150celcius +/- 11,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,1200,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,8480,"Pressure Safety Valve 1/2"" 3/4"" 3.0 bar",AKD01,Kauri Warehouse,AKD,,1005,0,Steamer Spare Parts,Kauri New Zealand Ltd,46,0,0,46
Winery Equipment,8480,"Pressure Safety Valve 1/2"" 3/4"" 3.0 bar",CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,1005,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,8480,"Pressure Safety Valve 1/2"" 3/4"" 3.0 bar",WOFF,Wellington Office,WOFF,,1005,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,8481,Relay 4kW 20A 24V DC,AKD01,Kauri Warehouse,AKD,,5001,0,Steamer Spare Parts,Kauri New Zealand Ltd,20,0,0,20
Winery Equipment,8481,Relay 4kW 20A 24V DC,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5001,0,Steamer Spare Parts,Kauri New Zealand Ltd,6,0,0,6
Winery Equipment,8481,Relay 4kW 20A 24V DC,CONOTHER,Consignment Stock (Other Location),CONOTHER,,5001,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,8483,"2"" Seal for Top Heating Element (blue)",AKD01,Kauri Warehouse,AKD,,455,0,Steamer Spare Parts,Kauri New Zealand Ltd,82,0,0,82
Winery Equipment,8483,"2"" Seal for Top Heating Element (blue)",CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,455,0,Steamer Spare Parts,Kauri New Zealand Ltd,30,0,0,30
Winery Equipment,8483,"2"" Seal for Top Heating Element (blue)",WOFF,Wellington Office,WOFF,,455,0,Steamer Spare Parts,Kauri New Zealand Ltd,8,0,0,8
Winery Equipment,8484,"DIN 1"" Seal Steam out",AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,122,0,0,122
Winery Equipment,8485,GEKA Seal Water In,AKD01,Kauri Warehouse,AKD,,505,0,Steamer Spare Parts,Kauri New Zealand Ltd,18,0,0,18
Winery Equipment,8485,GEKA Seal Water In,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,505,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,8488,20A Power Plug (for TD9-TD13),AKD01,Kauri Warehouse,AKD,,348,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,8489,32A Power Plug (for TD16-TD23),AKD01,Kauri Warehouse,AKD,,348,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,8493,"2"" Seal for Bottom Brass Nut (gray)",AKD01,Kauri Warehouse,AKD,,455,0,Steamer Spare Parts,Kauri New Zealand Ltd,218,0,0,218
Winery Equipment,8493,"2"" Seal for Bottom Brass Nut (gray)",CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,455,0,Steamer Spare Parts,Kauri New Zealand Ltd,30,0,0,30
Winery Equipment,8496,Pressure Switch 1-5bar,AKD01,Kauri Warehouse,AKD,Pressure Switch 1-5bar,1000,1000,Steamer Spare Parts,Kauri New Zealand Ltd,0,1,0,1
Winery Equipment,8496,Pressure Switch 1-5bar,AKD01,Kauri Warehouse,AKD,Tarriff No. 8536 5019,1000,0,Steamer Spare Parts,Kauri New Zealand Ltd,38,0,0,38
Winery Equipment,8496,Pressure Switch 1-5bar,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,Tarriff No. 8536 5019,1000,0,Steamer Spare Parts,Kauri New Zealand Ltd,6,0,0,6
Winery Equipment,8496,Pressure Switch 1-5bar,WOFF,Wellington Office,WOFF,Tarriff No. 8536 5019,1000,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,8498,Barrel Spear 50cm (incl 19x6mmx10m Hose),AKD01,Kauri Warehouse,AKD,including fittings to fit to NW25,347,0,Steamer Accessories,Kauri New Zealand Ltd,64,0,0,64
Wine Barrels,8523,LBT M+,IND01,NZ Indent Orders,IND,LBT M+,2020,2020,Leroi,Kauri New Zealand Ltd,0,0,-19,-19
Wine Barrels,8525,LBT Burgundy House,IND01,NZ Indent Orders,IND,LBT Burgundy House,2040,2040,Leroi,Kauri New Zealand Ltd,0,0,-4,-4
Samples,8617,Kauri NZ Sample Bottle and Screwcap 375ml 6 Pack,AKD01,Kauri Warehouse,AKD,,0,0,Glass,Kauri New Zealand Ltd,8,0,0,8
Samples,8617,Kauri NZ Sample Bottle and Screwcap 375ml 6 Pack,WOFF,Wellington Office,WOFF,,0,0,Glass,Kauri New Zealand Ltd,12,0,0,12
Bottles,8621,Hand Corker for 34mm cork,WOFF,Wellington Office,WOFF,,0,0,Capper & Cork Unit,Kauri New Zealand Ltd,2,0,0,2
Bottles,8622,Hand Corker for 39mm cork,WOFF,Wellington Office,WOFF,,0,0,Capper & Cork Unit,Kauri New Zealand Ltd,2,0,0,2
Bottles,8623,Hand Corker for 41mm cork,WOFF,Wellington Office,WOFF,,0,0,Capper & Cork Unit,Kauri New Zealand Ltd,2,0,0,2
Bottles,8624,Hand Corker for 45mm cork,WOFF,Wellington Office,WOFF,,0,0,Capper & Cork Unit,Kauri New Zealand Ltd,2,0,0,2
Wine Barrels,8669,XT TDC 3yr ML,IND01,NZ Indent Orders,IND,XT TDC 3yr ML,206,206,Des Clos,Kauri New Zealand Ltd,0,0,-1,-1
Wine Barrels,8729,BT TDC 3yr ML,IND01,NZ Indent Orders,IND,BT TDC 3yr ML,206,206,Des Clos,Kauri New Zealand Ltd,0,0,-7,-7
Wine Barrels,8749,BT TDC 3yr M,IND01,NZ Indent Orders,IND,BT TDC 3yr M,206,206,Des Clos,Kauri New Zealand Ltd,0,0,-1,-1
Wine Barrels,8761,Sonoma 200L Spirit Barrel - Char #2,BLN03,Move Distribution Blenheim,BLN,,4501,0,Sonoma,Kauri New Zealand Ltd,8,0,0,8
Wine Barrels,8762,Sonoma 200L Spirit Barrel - Char #3,BLN03,Move Distribution Blenheim,BLN,,4502,0,Sonoma,Kauri New Zealand Ltd,2,0,0,2
Wine Barrels,8762,Sonoma 200L Spirit Barrel - Char #3,CHC01,Bascik,CHC,,4502,0,Sonoma,Kauri New Zealand Ltd,8,0,0,8
Wine Barrels,8763,Sonoma 200L Spirit Barrel - Char #4,AKD01,Kauri Warehouse,AKD,,4503,0,Sonoma,Kauri New Zealand Ltd,8,0,0,8
Wine Barrels,8763,Sonoma 200L Spirit Barrel - Char #4,BLN03,Move Distribution Blenheim,BLN,,4503,0,Sonoma,Kauri New Zealand Ltd,6,0,0,6
Wine Barrels,8763,Sonoma 200L Spirit Barrel - Char #4,CHC01,Bascik,CHC,,4503,0,Sonoma,Kauri New Zealand Ltd,12,0,0,12
Wine Barrels,8771,Saury Unleashed 228L,BLN03,Move Distribution Blenheim,BLN,,1606,0,Unleashed,Kauri New Zealand Ltd,8,0,0,8
Wine Barrels,8771,Saury Unleashed 228L,IND01,NZ Indent Orders,IND,Saury Unleashed 228L,1606,1606,Unleashed,Kauri New Zealand Ltd,0,0,-2,-2
Wine Barrels,8790,Saury Massif 225L,AKD01,Kauri Warehouse,AKD,,206,0,Massif,Kauri New Zealand Ltd,2,0,0,2
Wine Barrels,8791,Saury Massif 228L,IND01,NZ Indent Orders,IND,Saury Massif 228L,206,206,Massif,Kauri New Zealand Ltd,0,0,-10,-10
Wine Barrels,8792,Saury Massif 300L,IND01,NZ Indent Orders,IND,Saury Massif 300L,206,206,Massif,Kauri New Zealand Ltd,0,0,-1,-1
Wine Barrels,8803,Ecrin XCF 3yr Lumiere+,IND01,NZ Indent Orders,IND,Ecrin XCF 3yr Lumiere+,1915,1915,Classic,Kauri New Zealand Ltd,0,0,-1,-1
Oak Alternatives,8818,Ambrosia/Long Convect Amer Chips Complex 2x5kg,AKD01,Kauri Warehouse,AKD,,220,0,Chips,Kauri New Zealand Ltd,26,0,0,26
Oak Alternatives,8820,Ambrosia/Long Convect Fr Chips Intense 2x5kg,AKD01,Kauri Warehouse,AKD,,175,0,Chips,Kauri New Zealand Ltd,12,0,0,12
Oak Alternatives,8821,Ambrosia/Long Convect Fr Chips Complex 2x5kg,AKD01,Kauri Warehouse,AKD,Ambrosia/Long Convect Fr Chips Complex 2x5kg,170,170,Chips,Kauri New Zealand Ltd,0,72,0,72
Oak Alternatives,8830,Ambrosia/Long Convect Amer Viniblocks Complex 2x5k,AKD01,Kauri Warehouse,AKD,,385,0,Viniblocks,Kauri New Zealand Ltd,52,0,0,52
Oak Alternatives,8831,Ambrosia/Long Convect Fr Viniblocks Sweet 2x5kg,AKD01,Kauri Warehouse,AKD,,275,0,Viniblocks,Kauri New Zealand Ltd,50,0,0,50
Oak Alternatives,8832,Ambrosia/Long Convect Fr Viniblocks Intense 2x5kg,AKD01,Kauri Warehouse,AKD,,285,0,Viniblocks,Kauri New Zealand Ltd,118,0,0,118
Oak Alternatives,8833,Ambrosia/Long Convect Fr Viniblocks Complex 2x5kg,AKD01,Kauri Warehouse,AKD,,280,0,Viniblocks,Kauri New Zealand Ltd,26,0,0,26
Oak Alternatives,8833,Ambrosia/Long Convect Fr Viniblocks Complex 2x5kg,AKD01,Kauri Warehouse,AKD,Ambrosia/Long Convect Fr Viniblocks Complex 2x5kg,280,280,Viniblocks,Kauri New Zealand Ltd,0,0,-1,-1
Oak Alternatives,8836,Ambrosia/Long Convect Amer Ministaves Complex 20pk,AKD01,Kauri Warehouse,AKD,"with 2 stainless wires, one for each 10 pack",615,0,Ministaves,Kauri New Zealand Ltd,60,0,0,60
Oak Alternatives,8837,Ambrosia/Long Convect Fr Ministaves Sweet 20pk,AKD01,Kauri Warehouse,AKD,Ambrosia/Long Convect Fr Ministaves Sweet 20pk,560,560,Ministaves,Kauri New Zealand Ltd,0,60,0,60
Oak Alternatives,8838,Ambrosia/Long Convect Fr Ministaves Intense 20pk,AKD01,Kauri Warehouse,AKD,"with 2 stainless wires, one for each 10 pack",570,0,Ministaves,Kauri New Zealand Ltd,144,0,0,144
Oak Alternatives,8839,Ambrosia/Long Convect Fr Ministaves Complex 20pk,AKD01,Kauri Warehouse,AKD,"with 2 stainless wires, one for each 10 pack",565,0,Ministaves,Kauri New Zealand Ltd,182,0,0,182
Oak Alternatives,8840,Ambrosia/Long Convect Amer ZigZag Sweet kit (41%),AKD01,Kauri Warehouse,AKD,Individually packed with foil outer,495,0,Zig-Zags,Kauri New Zealand Ltd,26,0,0,26
Oak Alternatives,8841,Ambrosia/Long Convect Amer ZigZag Intense kit(41%),AKD01,Kauri Warehouse,AKD,Individually packed with foil outer,505,0,Zig-Zags,Kauri New Zealand Ltd,100,0,0,100
Oak Alternatives,8842,Ambrosia/Long Convect Amer ZigZag Complex(41%),AKD01,Kauri Warehouse,AKD,Individually packed with foil outer,500,0,Zig-Zags,Kauri New Zealand Ltd,16,0,0,16
Oak Alternatives,8843,Ambrosia/Long Convect Fr ZigZag Sweet kit(41%),AKD01,Kauri Warehouse,AKD,Ambrosia/Long Convect Fr ZigZag Sweet kit(41%),440,440,Zig-Zags,Kauri New Zealand Ltd,0,80,0,80
Oak Alternatives,8843,Ambrosia/Long Convect Fr ZigZag Sweet kit(41%),AKD01,Kauri Warehouse,AKD,Individually packed with foil outer,440,0,Zig-Zags,Kauri New Zealand Ltd,164,0,0,164
Oak Alternatives,8844,Ambrosia/Long Convect Fr ZigZag Intense kit (41%),AKD01,Kauri Warehouse,AKD,Individually packed with foil outer,450,0,Zig-Zags,Kauri New Zealand Ltd,316,0,0,316
Oak Alternatives,8845,Ambrosia/Long Convect Fr ZigZag Complex kit (41%),AKD01,Kauri Warehouse,AKD,Ambrosia/Long Convect Fr ZigZag Complex kit (41%),445,445,Zig-Zags,Kauri New Zealand Ltd,0,160,0,160
Oak Alternatives,8845,Ambrosia/Long Convect Fr ZigZag Complex kit (41%),AKD01,Kauri Warehouse,AKD,Individually packed with foil outer,445,0,Zig-Zags,Kauri New Zealand Ltd,74,0,0,74
Oak Alternatives,8846,Ambrosia FO XT Staves Complex 30pk,AKD01,Kauri Warehouse,AKD,,615,0,Ministaves,Kauri New Zealand Ltd,32,0,0,32
Oak Alternatives,8848,Ambrosia FO XT Staves Intense 30pk,AKD01,Kauri Warehouse,AKD,,615,0,Ministaves,Kauri New Zealand Ltd,18,0,0,18
Wine Barrels,8849,Ecrin XCF 3yr Imm Lumiere+,IND01,NZ Indent Orders,IND,Ecrin XCF 3yr Imm Lumiere+,1915,1915,Classic,Kauri New Zealand Ltd,0,0,-1,-1
Oak Alternatives,8850,Ambrosia FO XT Staves Sweet 10pk,AKD01,Kauri Warehouse,AKD,,615,0,Ministaves,Kauri New Zealand Ltd,86,0,0,86
Oak Alternatives,8850,Ambrosia FO XT Staves Sweet 10pk,AKD01,Kauri Warehouse,AKD,Ambrosia FO XT Staves Sweet 10pk,615,615,Ministaves,Kauri New Zealand Ltd,0,63,0,63
Oak Alternatives,8851,Ambrosia FO XT Staves Intense 10pk,AKD01,Kauri Warehouse,AKD,,615,0,Ministaves,Kauri New Zealand Ltd,20,0,0,20
Wine Barrels,8878,CT TDC 3yr ML,IND01,NZ Indent Orders,IND,CT TDC 3yr ML,206,206,Des Clos,Kauri New Zealand Ltd,0,0,-1,-1
Bottles,8890,CARTON A with dividers for 1.5L Burg bottles,AKD01,Kauri Warehouse,AKD,Max diam: 113 mm / Max height: 357 mm,2000,0,Other,Kauri New Zealand Ltd,42,0,0,42
Bottles,8891,CARTON B with dividers and inserts 1.5 Brd & Ries,AKD01,Kauri Warehouse,AKD,Max diam: 98 mm / Max height: 492 mm,2000,0,Other,Kauri New Zealand Ltd,38,0,0,38
Bottles,8892,CARTON C with dividers and inserts 1.5L wide & 3L,AKD01,Kauri Warehouse,AKD,Max diam: 138 mm / Max height: 480 mm,2000,0,Other,Kauri New Zealand Ltd,192,0,0,192
Bottles,8893,CARTON D with dividers for 5L & 6 L bottles,AKD01,Kauri Warehouse,AKD,Max diam: 189 mm / Max height: 585 mm,2000,0,Other,Kauri New Zealand Ltd,80,0,0,80
Bottles,8894,CARTON E Trial 6 pack with dividers,AKD01,Kauri Warehouse,AKD,,2000,0,Other,Kauri New Zealand Ltd,396,0,0,396
Winery Equipment,8898,Barrel Spear 50cm (incl 19x6mmx5m Hose),AKD01,Kauri Warehouse,AKD,Barrel Spear 50cm (incl 19x6mmx5m Hose),347,347,Steamer Accessories,Kauri New Zealand Ltd,0,4,0,4
Consumer Products,8911,Wine Check Bag - Black,AKD01,Kauri Warehouse,AKD,,890,0,Other,Kauri New Zealand Ltd,4,0,0,4
Consumer Products,8911,Wine Check Bag - Black,BLN04,Kathrin Jankowiec (Blenheim Office),BLN,,890,0,Other,Kauri New Zealand Ltd,6,0,0,6
Consumer Products,8912,Wine Check Bag - Red,AKD01,Kauri Warehouse,AKD,,890,0,Other,Kauri New Zealand Ltd,12,0,0,12
Consumer Products,8912,Wine Check Bag - Red,BLN04,Kathrin Jankowiec (Blenheim Office),BLN,,890,0,Other,Kauri New Zealand Ltd,8,0,0,8
Fermentation Products,8920,Potassium Metabisulphite 1kg,BLN04,Kathrin Jankowiec (Blenheim Office),BLN,,895,0,Ferment,Kauri New Zealand Ltd,26,0,0,26
Fermentation Products,8920,Potassium Metabisulphite 1kg,WOFF,Wellington Office,WOFF,,895,0,Ferment,Kauri New Zealand Ltd,8,0,0,8
Fermentation Products,8921,Potassium Metabisulphite 15x1kg bags,AKD01,Kauri Warehouse,AKD,Potassium Metabisulphite 15x1kg bags,895,895,Ferment,Kauri New Zealand Ltd,0,0,-10,-10
Fermentation Products,8921,Potassium Metabisulphite 15x1kg bags,BLN06,Solly's Blenheim,BLN,,895,0,Ferment,Kauri New Zealand Ltd,110,0,0,110
Fermentation Products,8921,Potassium Metabisulphite 15x1kg bags,NAP01,Triple P Logistics,NAP,,895,0,Ferment,Kauri New Zealand Ltd,112,0,0,112
Fermentation Products,8922,Potassium Metabisulphite 15kg bag,AKD01,Kauri Warehouse,AKD,Potassium Metabisulphite 15kg bag,895,895,Ferment,Kauri New Zealand Ltd,0,0,-55,-55
Lab Equipment,8930,Scout CO2 Detector,AKD01,Kauri Warehouse,AKD,,0,0,LogiCO2,Kauri New Zealand Ltd,2,0,0,2
Lab Equipment,8930,Scout CO2 Detector,BLN04,Kathrin Jankowiec (Blenheim Office),BLN,,0,0,LogiCO2,Kauri New Zealand Ltd,2,0,0,2
Lab Equipment,8930,Scout CO2 Detector,WOFF,Wellington Office,WOFF,,0,0,LogiCO2,Kauri New Zealand Ltd,28,0,0,28
Winery Equipment,9001,"Brass Lid 2"" for bottom of heating columns",AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,8,0,0,8
Winery Equipment,9001,"Brass Lid 2"" for bottom of heating columns",CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9002,"T-fitting 1/2"" Stainless Steel",AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9003,Solid Rubber Wheel Replacement for TD9-TD23,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,9004,Solid Rubber Wheel Replacement for TD33,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,9005,Master Switch KG20 for TD9 & TD13,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9006,Master Switch KG32 for TD16,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9007,Master Switch KG41 for TD23,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9008,Master Switch KG64 for TD33,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9009,Group Switch Heating Levels 0-3,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9011,Transformer with UR,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9012,Heating Element Cover,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,10,0,0,10
Winery Equipment,9013,Connector for Solenoid Valve,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,9014,Cable Silicone 2x1mm2 for Thermoswitch,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,9015,Sleeve Nut M4x10 for Heating Element Cover,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,28,0,0,28
Winery Equipment,9015,Sleeve Nut M4x10 for Heating Element Cover,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9016,Washer DIN 125-PA M6 for Heating Element Cover,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,128,0,0,128
Winery Equipment,9017,Screws for Machine Casing,AKD01,Kauri Warehouse,AKD,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,80,0,0,80
Winery Equipment,9017,Screws for Machine Casing,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,20,0,0,20
Winery Equipment,9024,BEL Fuse for heating element 600V AC/ 500V DC 6.3A,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,20,0,0,20
Winery Equipment,9030,Fused Terminal Block,CONHOOK,Consignment Stock Hooked on Engineering,CONHOOK,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,24,0,0,24
Winery Equipment,9030,Fused Terminal Block,WOFF,Wellington Office,WOFF,,5000,0,Steamer Spare Parts,Kauri New Zealand Ltd,16,0,0,16
Winery Equipment,9032,Steam Pressure Adaptor - for Service Agents only,WOFF,Wellington Office,WOFF,Manometer up to 150C,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9032-B,Steam Pressure Adaptor w ball valve - NOTES,WOFF,Wellington Office,WOFF,Manometer up to 150C,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9033,Water Pressure Adaptor -  for Service Agents only,WOFF,Wellington Office,WOFF,Simple Pressure Gauge,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,4,0,0,4
Winery Equipment,9034,Electrical Cable Roll - for Service Agents only,WOFF,Wellington Office,WOFF,100m Roll,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,2,0,0,2
Winery Equipment,9035,Contact Block WEG Blue,AKD01,Kauri Warehouse,AKD,assemble with 9037 & 9038,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,10,0,0,10
Winery Equipment,9036,LED Element WEG 24V AC/DC for Serie CSW White,AKD01,Kauri Warehouse,AKD,instead of the light bulb,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,40,0,0,40
Winery Equipment,9037,Illuminated Selector Button WEG Green,AKD01,Kauri Warehouse,AKD,assemble with 9038 & 9035,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,10,0,0,10
Winery Equipment,9038,Mounting Adaptor WEG Blue,AKD01,Kauri Warehouse,AKD,assemble with 9037 & 9035,0,0,Steamer Spare Parts,Kauri New Zealand Ltd,10,0,0,10
Winery Equipment,9039,Steam Junction Box TD20 Y2,AKD01,Kauri Warehouse,AKD,Steam Junction Box TD20 Y2,345,345,Steamer Accessories,Kauri New Zealand Ltd,0,2,0,2
Winery Equipment,9050,Power Adaptor - Europe to NZ/Australia,AKD01,Kauri Warehouse,AKD,,438,0,Apple and Pear Mill,Kauri New Zealand Ltd,20,0,0,20
Winery Equipment,9050,Power Adaptor - Europe to NZ/Australia,WOFF,Wellington Office,WOFF,,438,0,Apple and Pear Mill,Kauri New Zealand Ltd,2,0,0,2
Consumer Products,9107,Mini Oak Barrel 1L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,6,0,0,6
Consumer Products,9108,Mini Oak Barrel 2L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,10,0,0,10
Bungs,9108-C04,Silicone Bung for 1L/2L Barrel,WOFF,Wellington Office,WOFF,,74,0,Other,Kauri New Zealand Ltd,60,0,0,60
Wine Barrels,9108-C04,Silicone Bung for 1L/2L Barrel,WOFF,Wellington Office,WOFF,Silicone Bung for 1L/2L Barrel,74,74,Other,Kauri New Zealand Ltd,0,0,-15,-15
Consumer Products,9109,Mini Oak Barrel 3L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,10,0,0,10
Consumer Products,9110,Mini Oak Barrel 5L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,4,0,0,4
Consumer Products,9111,Mini Oak Spirit Barrel 5L,AKD01,Kauri Warehouse,AKD,Spirit Char 4,0,0,Small Barrels,Kauri New Zealand Ltd,18,0,0,18
Consumer Products,9120,Mini Oak Barrel 10L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,28,0,0,28
Consumer Products,9121,Mini Oak Spirit Barrel 10L,AKD01,Kauri Warehouse,AKD,Spirit Char 4,0,0,Small Barrels,Kauri New Zealand Ltd,20,0,0,20
Consumer Products,9130,Mini Oak Barrel 20L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,8,0,0,8
Consumer Products,9131,Mini Oak Spirit Barrel 20L,AKD01,Kauri Warehouse,AKD,Spirit Char 4,0,0,Small Barrels,Kauri New Zealand Ltd,4,0,0,4
Consumer Products,9140,Mini Oak Barrel 28L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,6,0,0,6
Bungs,9140-C13,Silicone Bung for 28L Barrel,WOFF,Wellington Office,WOFF,,78,0,Other,Kauri New Zealand Ltd,60,0,0,60
Wine Barrels,9140-C13,Silicone Bung for 28L Barrel,WOFF,Wellington Office,WOFF,Silicone Bung for 28L Barrel,78,78,Other,Kauri New Zealand Ltd,0,0,-15,-15
Wine Barrels,9150,Mini Oak Barrel 56L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,14,0,0,14
Bungs,9150-C14,Silicone Bung for 56L Barrel,WOFF,Wellington Office,WOFF,,79,0,Other,Kauri New Zealand Ltd,60,0,0,60
Wine Barrels,9150-C14,Silicone Bung for 56L Barrel,WOFF,Wellington Office,WOFF,Silicone Bung for 56L Barrel,79,79,Other,Kauri New Zealand Ltd,0,0,-15,-15
Wine Barrels,9151,Mini Oak Barrel 112L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,6,0,0,6
Wine Barrels,9151,Mini Oak Barrel 112L,AKD01,Kauri Warehouse,AKD,Mini Oak Barrel 112L,0,0,Small Barrels,Kauri New Zealand Ltd,0,0,-1,-1
Bungs,9151-Z42,Silicone Bung for 112L Barrel,WOFF,Wellington Office,WOFF,,80,0,Other,Kauri New Zealand Ltd,80,0,0,80
Wine Barrels,9151-Z42,Silicone Bung for 112L Barrel,WOFF,Wellington Office,WOFF,Silicone Bung for 112L Barrel,80,80,Other,Kauri New Zealand Ltd,0,0,-20,-20
Wine Barrels,9155,Mini Oak Spirit Barrel 56L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,10,0,0,10
Wine Barrels,9156,Mini Oak Spirit Barrel 112L,AKD01,Kauri Warehouse,AKD,,0,0,Small Barrels,Kauri New Zealand Ltd,10,0,0,10
