KAURIITEMCODE,BRAND,SHORTDESCRIPTION,CURRENCY,EARLYORDERPRICING,STANDARDPRICING,EARLYORDERPRICETOCUSTOMERAUS,STANDARDPRICETOCUSTOMERAUS,EARLYORDERPRICETOCUSTOMERNZ,STANDARDPRICETOCUSTOMERNZ,SIZE,SEASONING,BENDING,TOASTING,GRAIN,OAK,TERMS,BARRELMARKINGS1,BARRELMARKINGS2,LABELLINEI,LABELLINE2,LABELLINE3,LABELLINE4,LABELLINE5,LONGBARRELCODE,FULLDESCRIPTION,CURRENTLYAVAILABLE
7141,Saury,BT 3yr Imm Lumiere+,Euro,850,865,1170,1210,1130,1155,Burgundy Export 228L,3yr,Immersion,Lumiere Plus,Fine,French Oak,ex W,,3yr Immersion Lumiere+,7141,Saury,French Oak,BT 3yr Imm Lumiere+,customer name,Saury Burg Exp 228L 3yr Imm Lumiere Plus,Saury French Oak Burgundy Export 228L 3yr Immersion Lumiere Plus,Y
7142,Saury,BT 3yr Imm Lumiere+ TH,Euro,850,865,1190,1230,1150,1175,Burgundy Export 228L,3yr,Immersion,Lumiere Plus TH,Fine,French Oak,ex W,,3yr Immersion Lumiere+ TH,7142,Saury,French Oak,BT 3yr Imm Lumiere+ TH,customer name,Saury Burg Exp 228L 3yr Imm Lumiere PlusTH,Saury French Oak Burgundy Export 228L 3yr Immersion Lumiere Plus TH,Y
7228,Saury,BTD M,Euro,858,874,1140,1180,1100,1125,Burg Tradition 228L,2yr,Fire,M,Fine,French Oak,ex W,,M,7228,Saury,French Oak,BTD M,customer name,Saury Burg Trad 228L M,Saury French Oak Burg Tradition 228L Fire M,Y
7230,Saury,BTD M TH,Euro,858,874,1160,1200,1120,1145,Burg Tradition 228L,2yr,Fire,M TH,Fine,French Oak,ex W,,M TH,7230,Saury,French Oak,BTD M TH,customer name,Saury Burg Trad 228L M TH,Saury French Oak Burg Tradition 228L Fire M TH,Y
7235,Saury,BTD M+,Euro,858,874,1140,1180,1100,1125,Burg Tradition 228L,2yr,Fire,M+,Fine,French Oak,ex W,,M+,7235,Saury,French Oak,BTD M+,customer name,Saury Burg Trad 228L M+,Saury French Oak Burg Tradition 228L Fire M+,Y
7240,Saury,BTD M+ TH,Euro,858,874,1160,1200,1120,1145,Burg Tradition 228L,2yr,Fire,M+ TH,Fine,French Oak,ex W,,M+ TH,7240,Saury,French Oak,BTD M+ TH,customer name,Saury Burg Trad 228L M+ TH,Saury French Oak Burg Tradition 228L Fire M+ TH,Y
7241,Saury,BTD Lumiere,Euro,858,874,1140,1180,1100,1125,Burg Tradition 228L,2yr,Fire,Lumiere,Fine,French Oak,ex W,,Lumiere,7241,Saury,French Oak,BTD Lumiere,customer name,Saury Burg Trad 228L Lumiere,Saury French Oak Burg Tradition 228L Fire Lumiere,Y
7243,Saury,BTD Lumiere TH,Euro,858,874,1160,1200,1120,1145,Burg Tradition 228L,2yr,Fire,Lumiere TH,Fine,French Oak,ex W,,Lumiere TH,7243,Saury,French Oak,BTD Lumiere TH,customer name,Saury Burg Trad 228L Lumiere TH,Saury French Oak Burg Tradition 228L Fire Lumiere TH,Y
7245,Saury,BTD Imm M,Euro,858,874,1140,1180,1100,1125,Burg Tradition 228L,2yr,Immersion,M,Fine,French Oak,ex W,,Immersion M,7245,Saury,French Oak,BTD Imm M,customer name,Saury Burg Trad 228L Imm M,Saury French Oak Burg Tradition 228L Immersion M,Y
7250,Saury,BTD Imm M TH,Euro,858,874,1160,1200,1120,1145,Burg Tradition 228L,2yr,Immersion,M TH,Fine,French Oak,ex W,,Immersion M TH,7250,Saury,French Oak,BTD Imm M TH,customer name,Saury Burg Trad 228L Imm M TH,Saury French Oak Burg Tradition 228L Immersion M TH,Y
7255,Saury,BTD Imm M+,Euro,858,874,1140,1180,1100,1125,Burg Tradition 228L,2yr,Immersion,M+,Fine,French Oak,ex W,,Immersion M+,7255,Saury,French Oak,BTD Imm M+,customer name,Saury Burg Trad 228L Imm M+,Saury French Oak Burg Tradition 228L Immersion M+,Y
7260,Saury,BTD Imm M+ TH,Euro,858,874,1160,1200,1120,1145,Burg Tradition 228L,2yr,Immersion,M+ TH,Fine,French Oak,ex W,,Immersion M+ TH,7260,Saury,French Oak,BTD Imm M+ TH,customer name,Saury Burg Trad 228L Imm M+ TH,Saury French Oak Burg Tradition 228L Immersion M+ TH,Y
7261,Saury,BTD Imm Lumiere,Euro,858,874,1140,1180,1100,1125,Burg Tradition 228L,2yr,Immersion,Lumiere,Fine,French Oak,ex W,,Immersion Lumiere,7261,Saury,French Oak,BTD Imm Lumiere,customer name,Saury Burg Trad 228L Imm Lumiere,Saury French Oak Burg Tradition 228L Immersion Lumiere,Y
7262,Saury,BTD Imm Lumiere TH,Euro,858,874,1160,1200,1120,1145,Burg Tradition 228L,2yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,Immersion Lumiere TH,7262,Saury,French Oak,BTD Imm Lumiere TH,customer name,Saury Burg Trad 228L Imm Lumiere TH,Saury French Oak Burg Tradition 228L Immersion Lumiere TH,Y
7297,Saury,BTD 3yr L,Euro,881,897,1170,1210,1130,1155,Burg Tradition 228L,3yr,Fire,L,Fine,French Oak,ex W,,3yr L,7297,Saury,French Oak,BTD 3yr L,customer name,Saury Burg Trad 228L 3yr L,Saury French Oak Burg Tradition 228L 3yr Fire L,Y
7298,Saury,BTD 3yr L TH,Euro,881,897,1190,1230,1150,1175,Burg Tradition 228L,3yr,Fire,L TH,Fine,French Oak,ex W,,3yr L TH,7298,Saury,French Oak,BTD 3yr L TH,customer name,Saury Burg Trad 228L 3yr L TH,Saury French Oak Burg Tradition 228L 3yr Fire L TH,Y
7299,Saury,BTD 3yr M,Euro,881,897,1170,1210,1130,1155,Burg Tradition 228L,3yr,Fire,M,Fine,French Oak,ex W,,3yr M,7299,Saury,French Oak,BTD 3yr M,customer name,Saury Burg Trad 228L 3yr M,Saury French Oak Burg Tradition 228L 3yr Fire M,Y
7300,Saury,BTD 3yr M TH,Euro,881,897,1190,1230,1150,1175,Burg Tradition 228L,3yr,Fire,M TH,Fine,French Oak,ex W,,3yr M TH,7300,Saury,French Oak,BTD 3yr M TH,customer name,Saury Burg Trad 228L 3yr M TH,Saury French Oak Burg Tradition 228L 3yr Fire M TH,Y
7305,Saury,BTD 3yr M+,Euro,881,897,1170,1210,1130,1155,Burg Tradition 228L,3yr,Fire,M+,Fine,French Oak,ex W,,3yr M+,7305,Saury,French Oak,BTD 3yr M+,customer name,Saury Burg Trad 228L 3yr M+,Saury French Oak Burg Tradition 228L 3yr Fire M+,Y
7310,Saury,BTD 3yr M+ TH,Euro,881,897,1190,1230,1150,1175,Burg Tradition 228L,3yr,Fire,M+ TH,Fine,French Oak,ex W,,3yr M+ TH,7310,Saury,French Oak,BTD 3yr M+ TH,customer name,Saury Burg Trad 228L 3yr M+ TH,Saury French Oak Burg Tradition 228L 3yr Fire M+ TH,Y
7311,Saury,BTD 3yr Lumiere,Euro,881,897,1170,1210,1130,1155,Burg Tradition 228L,3yr,Fire,Lumiere,Fine,French Oak,ex W,,3yr Lumiere,7311,Saury,French Oak,BTD 3yr Lumiere,customer name,Saury Burg Trad 228L 3yr Lumiere,Saury French Oak Burg Tradition 228L 3yr Fire Lumiere,Y
7312,Saury,BTD 3yr Lumiere TH,Euro,881,897,1190,1230,1150,1175,Burg Tradition 228L,3yr,Fire,Lumiere TH,Fine,French Oak,ex W,,3yr Lumiere TH,7312,Saury,French Oak,BTD 3yr Lumiere TH,customer name,Saury Burg Trad 228L 3yr Lumiere TH,Saury French Oak Burg Tradition 228L 3yr Fire Lumiere TH,Y
7314,Saury,BTD 3yr Imm L,Euro,881,897,1170,1210,1130,1155,Burg Tradition 228L,3yr,Immersion,L,Fine,French Oak,ex W,,3yr Immersion L,7314,Saury,French Oak,BTD 3yr Imm L,customer name,Saury Burg Trad 228L 3yr Imm L,Saury French Oak Burg Tradition 228L 3yr Immersion L,Y
7315,Saury,BTD 3yr Imm L TH,Euro,881,897,1190,1230,1150,1175,Burg Tradition 228L,3yr,Immersion,L TH,Fine,French Oak,ex W,,3yr Immersion L TH,7315,Saury,French Oak,BTD 3yr Imm L TH,customer name,Saury Burg Trad 228L 3yr Imm L TH,Saury French Oak Burg Tradition 228L 3yr Immersion L TH,Y
7317,Saury,BTD 3yr Imm M,Euro,881,897,1170,1210,1130,1155,Burg Tradition 228L,3yr,Immersion,M,Fine,French Oak,ex W,,3yr Immersion M ,7317,Saury,French Oak,BTD 3yr Imm M,customer name,Saury Burg Trad 228L 3yr Imm M ,Saury French Oak Burg Tradition 228L 3yr Immersion M,Y
7318,Saury,BTD 3yr Imm M TH,Euro,881,897,1190,1230,1150,1175,Burg Tradition 228L,3yr,Immersion,M TH,Fine,French Oak,ex W,,3yr Immersion M TH,7318,Saury,French Oak,BTD 3yr Imm M TH,customer name,Saury Burg Trad 228L 3yr Imm M TH,Saury French Oak Burg Tradition 228L 3yr Immersion M TH,Y
7320,Saury,BTD 3yr Imm M+,Euro,881,897,1170,1210,1130,1155,Burg Tradition 228L,3yr,Immersion,M+,Fine,French Oak,ex W,,3yr Immersion M+,7320,Saury,French Oak,BTD 3yr Imm M+,customer name,Saury Burg Trad 228L 3yr Imm M+,Saury French Oak Burg Tradition 228L 3yr Immersion M+,Y
7325,Saury,BTD 3yr Imm M+ TH,Euro,881,897,1190,1230,1150,1175,Burg Tradition 228L,3yr,Immersion,M+ TH,Fine,French Oak,ex W,,3yr Immersion M+ TH,7325,Saury,French Oak,BTD 3yr Imm M+ TH,customer name,Saury Burg Trad 228L 3yr Imm M+ TH,Saury French Oak Burg Tradition 228L 3yr Immersion M+ TH,Y
7326,Saury,BTD 3yr Imm Lumiere,Euro,881,897,1170,1210,1130,1155,Burg Tradition 228L,3yr,Immersion,Lumiere,Fine,French Oak,ex W,,3yr Immersion Lumiere,7326,Saury,French Oak,BTD 3yr Imm Lumiere,customer name,Saury Burg Trad 228L 3yr Imm Lumiere,Saury French Oak Burg Tradition 228L 3yr Immersion Lumiere,Y
7327,Saury,BTD 3yr Imm Lumiere TH,Euro,881,897,1190,1230,1150,1175,Burg Tradition 228L,3yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,3yr Immersion Lumiere TH,7327,Saury,French Oak,BTD 3yr Imm Lumiere TH,customer name,Saury Burg Trad 228L 3yr Imm Lumiere TH,Saury French Oak Burg Tradition 228L 3yr Immersion Lumiere TH,Y
7350,Saury,TT M,Euro,930,950,1280,1320,1235,1265,Hogshead 300L,2yr,Fire,M,Fine,French Oak,ex W,,M,7350,Saury,French Oak,TT M,customer name,Saury Hogshead 300L M,Saury French Oak Hogshead 300L Fire M,Y
7355,Saury,TT M TH,Euro,930,950,1300,1340,1255,1285,Hogshead 300L,2yr,Fire,M TH,Fine,French Oak,ex W,,M TH,7355,Saury,French Oak,TT M TH,customer name,Saury Hogshead 300L M TH,Saury French Oak Hogshead 300L Fire M TH,Y
7360,Saury,TT M+,Euro,930,950,1280,1320,1235,1265,Hogshead 300L,2yr,Fire,M+,Fine,French Oak,ex W,,M+,7360,Saury,French Oak,TT M+,customer name,Saury Hogshead 300L M+,Saury French Oak Hogshead 300L Fire M+,Y
7365,Saury,TT M+ TH,Euro,930,950,1300,1340,1255,1285,Hogshead 300L,2yr,Fire,M+ TH,Fine,French Oak,ex W,,M+ TH,7365,Saury,French Oak,TT M+ TH,customer name,Saury Hogshead 300L M+ TH,Saury French Oak Hogshead 300L Fire M+ TH,Y
7366,Saury,TT Lumiere,Euro,930,950,1280,1320,1235,1265,Hogshead 300L,2yr,Fire,Lumiere,Fine,French Oak,ex W,,Lumiere,7366,Saury,French Oak,TT Lumiere,customer name,Saury Hogshead 300L Lumiere,Saury French Oak Hogshead 300L Fire Lumiere,Y
7367,Saury,TT Lumiere TH,Euro,930,950,1300,1340,1255,1285,Hogshead 300L,2yr,Fire,Lumiere TH,Fine,French Oak,ex W,,Lumiere TH,7367,Saury,French Oak,TT Lumiere TH,customer name,Saury Hogshead 300L Lumiere TH,Saury French Oak Hogshead 300L Fire Lumiere TH,Y
7838,Saury,TT Lumiere+,Euro,930,950,1280,1320,1235,1265,Hogshead 300L,2yr,Fire,Lumiere Plus,Fine,French Oak,ex W,,Lumiere+,7838,Saury,French Oak,TT Lumiere+,customer name,Saury Hogshead 300L Lumiere Plus,Saury French Oak Hogshead 300L Fire Lumiere Plus,Y
7839,Saury,TT Lumiere+ TH,Euro,930,950,1300,1340,1255,1285,Hogshead 300L,2yr,Fire,Lumiere Plus TH,Fine,French Oak,ex W,,Lumiere+ TH,7839,Saury,French Oak,TT Lumiere+ TH,customer name,Saury Hogshead 300L Lumiere Plus TH,Saury French Oak Hogshead 300L Fire Lumiere Plus TH,Y
7380,Saury,TT Imm M,Euro,930,950,1280,1320,1235,1265,Hogshead 300L,2yr,Immersion,M,Fine,French Oak,ex W,,Immersion M,7380,Saury,French Oak,TT Imm M,customer name,Saury Hogshead 300L Imm M,Saury French Oak Hogshead 300L Immersion M,Y
7385,Saury,TT Imm M TH,Euro,930,950,1300,1340,1255,1285,Hogshead 300L,2yr,Immersion,M TH,Fine,French Oak,ex W,,Immersion M TH,7385,Saury,French Oak,TT Imm M TH,customer name,Saury Hogshead 300L Imm M TH,Saury French Oak Hogshead 300L Immersion M TH,Y
7390,Saury,TT Imm M+,Euro,930,950,1280,1320,1235,1265,Hogshead 300L,2yr,Immersion,M+,Fine,French Oak,ex W,,Immersion M+,7390,Saury,French Oak,TT Imm M+,customer name,Saury Hogshead 300L Imm M+,Saury French Oak Hogshead 300L Immersion M+,Y
7395,Saury,TT Imm M+ TH,Euro,930,950,1300,1340,1255,1285,Hogshead 300L,2yr,Immersion,M+ TH,Fine,French Oak,ex W,,Immersion M+ TH,7395,Saury,French Oak,TT Imm M+ TH,customer name,Saury Hogshead 300L Imm M+ TH,Saury French Oak Hogshead 300L Immersion M+ TH,Y
7396,Saury,TT Imm Lumiere,Euro,930,950,1280,1320,1235,1265,Hogshead 300L,2yr,Immersion,Lumiere,Fine,French Oak,ex W,,Immersion Lumiere,7396,Saury,French Oak,TT Imm Lumiere,customer name,Saury Hogshead 300L Imm Lumiere,Saury French Oak Hogshead 300L Immersion Lumiere,Y
7397,Saury,TT Imm Lumiere TH,Euro,930,950,1300,1340,1255,1285,Hogshead 300L,2yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,Immersion Lumiere TH,7397,Saury,French Oak,TT Imm Lumiere TH,customer name,Saury Hogshead 300L Imm Lumiere TH,Saury French Oak Hogshead 300L Immersion Lumiere TH,Y
7836,Saury,TT Imm Lumiere+,Euro,930,950,1280,1320,1235,1265,Hogshead 300L,2yr,Immersion,Lumiere Plus,Fine,French Oak,ex W,,Immersion Lumiere+,7836,Saury,French Oak,TT Imm Lumiere+,customer name,Saury Hogshead 300L Imm Lumiere Plus,Saury French Oak Hogshead 300L Immersion Lumiere Plus,Y
7837,Saury,TT Imm Lumiere+ TH,Euro,930,950,1300,1340,1255,1285,Hogshead 300L,2yr,Immersion,Lumiere Plus TH,Fine,French Oak,ex W,,Immersion Lumiere+ TH,7837,Saury,French Oak,TT Imm Lumiere+ TH,customer name,Saury Hogshead 300L Imm Lumiere Plus TH,Saury French Oak Hogshead 300L Immersion Lumiere Plus TH,Y
7433,Saury,TT 3yr L,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Fire,L,Fine,French Oak,ex W,,3yr L,7433,Saury,French Oak,TT 3yr L,customer name,Saury Hogshead 300L 3yr L,Saury French Oak Hogshead 300L 3yr Fire L,Y
7434,Saury,TT 3yr L TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Fire,L TH,Fine,French Oak,ex W,,3yr L TH,7434,Saury,French Oak,TT 3yr L TH,customer name,Saury Hogshead 300L 3yr L TH,Saury French Oak Hogshead 300L 3yr Fire L TH,Y
7435,Saury,TT 3yr M,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Fire,M,Fine,French Oak,ex W,,3yr M,7435,Saury,French Oak,TT 3yr M,customer name,Saury Hogshead 300L 3yr M,Saury French Oak Hogshead 300L 3yr Fire M,Y
7440,Saury,TT 3yr M TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Fire,M TH,Fine,French Oak,ex W,,3yr M TH,7440,Saury,French Oak,TT 3yr M TH,customer name,Saury Hogshead 300L 3yr M TH,Saury French Oak Hogshead 300L 3yr Fire M TH,Y
7445,Saury,TT 3yr M+,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Fire,M+,Fine,French Oak,ex W,,3yr M+,7445,Saury,French Oak,TT 3yr M+,customer name,Saury Hogshead 300L 3yr M+,Saury French Oak Hogshead 300L 3yr Fire M+,Y
7450,Saury,TT 3yr M+ TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Fire,M+ TH,Fine,French Oak,ex W,,3yr M+ TH,7450,Saury,French Oak,TT 3yr M+ TH,customer name,Saury Hogshead 300L 3yr M+ TH,Saury French Oak Hogshead 300L 3yr Fire M+ TH,Y
7451,Saury,TT 3yr Lumiere,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Fire,Lumiere,Fine,French Oak,ex W,,3yr Lumiere,7451,Saury,French Oak,TT 3yr Lumiere,customer name,Saury Hogshead 300L 3yr Lumiere,Saury French Oak Hogshead 300L 3yr Fire Lumiere,Y
7452,Saury,TT 3yr Lumiere TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Fire,Lumiere TH,Fine,French Oak,ex W,,3yr Lumiere TH,7452,Saury,French Oak,TT 3yr Lumiere TH,customer name,Saury Hogshead 300L 3yr Lumiere TH,Saury French Oak Hogshead 300L 3yr Fire Lumiere TH,Y
7834,Saury,TT 3yr Lumiere+,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Fire,Lumiere Plus,Fine,French Oak,ex W,,3yr Lumiere+,7834,Saury,French Oak,TT 3yr Lumiere+,customer name,Saury Hogshead 300L 3yr Lumiere Plus,Saury French Oak Hogshead 300L 3yr Fire Lumiere Plus,Y
7835,Saury,TT 3yr Lumiere+ TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Fire,Lumiere Plus TH,Fine,French Oak,ex W,,3yr Lumiere+ TH,7835,Saury,French Oak,TT 3yr Lumiere+ TH,customer name,Saury Hogshead 300L 3yr Lumiere Plus TH,Saury French Oak Hogshead 300L 3yr Fire Lumiere Plus TH,Y
7833,Saury,TT MFG 3yr Lumiere+,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Fire,Lumiere Plus,mid-fine,French Oak,ex W,,3yr Lumiere+,7833,Saury,French Oak,TT MFG 3yr Lumiere+,customer name,Saury Hogshead 300L 3yr Lumiere Plus,Saury French Oak Hogshead 300L 3yr Fire Lumiere Plus,Y
7453,Saury,TT 3yr Imm L,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Immersion,L,Fine,French Oak,ex W,,3yr Immersion L,7453,Saury,French Oak,TT 3yr Imm L,customer name,Saury Hogshead 300L 3yr Imm L,Saury French Oak Hogshead 300L 3yr Immersion L,Y
7448,Saury,TT 3yr Imm L TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Immersion,L TH,Fine,French Oak,ex W,,3yr Immersion L TH,7448,Saury,French Oak,TT 3yr Imm L TH,customer name,Saury Hogshead 300L 3yr Imm L TH,Saury French Oak Hogshead 300L 3yr Immersion L TH,Y
7455,Saury,TT 3yr Imm M,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Immersion,M,Fine,French Oak,ex W,,3yr Immersion M ,7455,Saury,French Oak,TT 3yr Imm M,customer name,Saury Hogshead 300L 3yr Imm M ,Saury French Oak Hogshead 300L 3yr Immersion M,Y
7460,Saury,TT 3yr Imm M TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Immersion,M TH,Fine,French Oak,ex W,,3yr Immersion M TH,7460,Saury,French Oak,TT 3yr Imm M TH,customer name,Saury Hogshead 300L 3yr Imm M TH,Saury French Oak Hogshead 300L 3yr Immersion M TH,Y
7465,Saury,TT 3yr Imm M+,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Immersion,M+,Fine,French Oak,ex W,,3yr Immersion M+,7465,Saury,French Oak,TT 3yr Imm M+,customer name,Saury Hogshead 300L 3yr Imm M+,Saury French Oak Hogshead 300L 3yr Immersion M+,Y
7470,Saury,TT 3yr Imm M+ TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Immersion,M+ TH,Fine,French Oak,ex W,,3yr Immersion M+ TH,7470,Saury,French Oak,TT 3yr Imm M+ TH,customer name,Saury Hogshead 300L 3yr Imm M+ TH,Saury French Oak Hogshead 300L 3yr Immersion M+ TH,Y
7471,Saury,TT 3yr Imm Lumiere,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Immersion,Lumiere,Fine,French Oak,ex W,,3yr Immersion Lumiere,7471,Saury,French Oak,TT 3yr Imm Lumiere,customer name,Saury Hogshead 300L 3yr Imm Lumiere,Saury French Oak Hogshead 300L 3yr Immersion Lumiere,Y
7472,Saury,TT 3yr Imm Lumiere TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,3yr Immersion Lumiere TH,7472,Saury,French Oak,TT 3yr Imm Lumiere TH,customer name,Saury Hogshead 300L 3yr Imm Lumiere TH,Saury French Oak Hogshead 300L 3yr Immersion Lumiere TH,Y
7831,Saury,TT 3yr Imm Lumiere+,Euro,953,972,1310,1350,1265,1295,Hogshead 300L,3yr,Immersion,Lumiere Plus,Fine,French Oak,ex W,,3yr Immersion Lumiere+,7831,Saury,French Oak,TT 3yr Imm Lumiere+,customer name,Saury Hogshead 300L 3yr Imm Lumiere Plus,Saury French Oak Hogshead 300L 3yr Immersion Lumiere Plus,Y
7832,Saury,TT 3yr Imm Lumiere+ TH,Euro,953,972,1330,1370,1285,1315,Hogshead 300L,3yr,Immersion,Lumiere Plus TH,Fine,French Oak,ex W,,3yr Immersion Lumiere+ TH,7832,Saury,French Oak,TT 3yr Imm Lumiere+ TH,customer name,Saury Hogshead 300L 3yr Imm Lumiere Plus TH,Saury French Oak Hogshead 300L 3yr Immersion Lumiere Plus TH,Y
6996,Saury,TC 3yr M,Euro,1040,1060,1420,1465,1380,1415,Hogshead 350L,3yr,Fire,M,Fine,French Oak,ex W,,3yr M,6996,Saury,French Oak,TC 3yr M,customer name,Saury Hogshead 350L 3yr M,Saury French Oak Hogshead 350L 3yr Fire M,Y
6995,Saury,TC 3yr M+,Euro,1040,1060,1420,1465,1380,1415,Hogshead 350L,3yr,Fire,M+,Fine,French Oak,ex W,,3yr M+,6995,Saury,French Oak,TC 3yr M+,customer name,Saury Hogshead 350L 3yr M+,Saury French Oak Hogshead 350L 3yr Fire M+,Y
6994,Saury,TC 3yr Imm M+,Euro,1040,1060,1420,1465,1380,1415,Hogshead 350L,3yr,Immersion,M+,Fine,French Oak,ex W,,3yr Immersion M+,6994,Saury,French Oak,TC 3yr Imm M+,customer name,Saury Hogshead 350L 3yr Imm M+,Saury French Oak Hogshead 350L 3yr Immersion M+,Y
6999,Saury,TC 3yr Lumiere,Euro,1040,1060,1420,1465,1380,1415,Hogshead 350L,3yr,Fire,Lumiere,Fine,French Oak,ex W,,3yr Lumiere,6999,Saury,French Oak,TC 3yr Lumiere,customer name,Saury Hogshead 350L 3yr Lumiere,Saury French Oak Hogshead 350L 3yr Fire Lumiere,Y
7008,Saury,TC 3yr Imm Lumiere,Euro,1040,1060,1420,1465,1380,1415,Hogshead 350L,3yr,Immersion,Lumiere,Fine,French Oak,ex W,,3yr Immersion Lumiere,7008,Saury,French Oak,TC 3yr Imm Lumiere,customer name,Saury Hogshead 350L 3yr Imm Lumiere,Saury French Oak Hogshead 350L 3yr Immersion Lumiere,Y
6901,Saury,KT M,Euro,1103,1126,1520,1570,1470,1505,Botte 400L,2yr,Fire,M,Fine,French Oak,ex W,,M,6901,Saury,French Oak,KT M,customer name,Saury Botte 400L M,Saury French Oak Botte 400L Fire M,Y
6902,Saury,KT M TH,Euro,1103,1126,1540,1590,1490,1525,Botte 400L,2yr,Fire,M TH,Fine,French Oak,ex W,,M TH,6902,Saury,French Oak,KT M TH,customer name,Saury Botte 400L M TH,Saury French Oak Botte 400L Fire M TH,Y
6903,Saury,KT M+,Euro,1103,1126,1520,1570,1470,1505,Botte 400L,2yr,Fire,M+,Fine,French Oak,ex W,,M+,6903,Saury,French Oak,KT M+,customer name,Saury Botte 400L M+,Saury French Oak Botte 400L Fire M+,Y
6904,Saury,KT M+ TH,Euro,1103,1126,1540,1590,1490,1525,Botte 400L,2yr,Fire,M+ TH,Fine,French Oak,ex W,,M+ TH,6904,Saury,French Oak,KT M+ TH,customer name,Saury Botte 400L M+ TH,Saury French Oak Botte 400L Fire M+ TH,Y
6905,Saury,KT Lumiere,Euro,1103,1126,1520,1570,1470,1505,Botte 400L,2yr,Fire,Lumiere,Fine,French Oak,ex W,,Lumiere,6905,Saury,French Oak,KT Lumiere,customer name,Saury Botte 400L Lumiere,Saury French Oak Botte 400L Fire Lumiere,Y
6906,Saury,KT Lumiere TH,Euro,1103,1126,1540,1590,1490,1525,Botte 400L,2yr,Fire,Lumiere TH,Fine,French Oak,ex W,,Lumiere TH,6906,Saury,French Oak,KT Lumiere TH,customer name,Saury Botte 400L Lumiere TH,Saury French Oak Botte 400L Fire Lumiere TH,Y
6907,Saury,KT Imm M,Euro,1103,1126,1520,1570,1470,1505,Botte 400L,2yr,Immersion,M,Fine,French Oak,ex W,,Immersion M,6907,Saury,French Oak,KT Imm M,customer name,Saury Botte 400L Imm M,Saury French Oak Botte 400L Immersion M,Y
6908,Saury,KT Imm M TH,Euro,1103,1126,1540,1590,1490,1525,Botte 400L,2yr,Immersion,M TH,Fine,French Oak,ex W,,Immersion M TH,6908,Saury,French Oak,KT Imm M TH,customer name,Saury Botte 400L Imm M TH,Saury French Oak Botte 400L Immersion M TH,Y
6909,Saury,KT Imm M+,Euro,1103,1126,1520,1570,1470,1505,Botte 400L,2yr,Immersion,M+,Fine,French Oak,ex W,,Immersion M+,6909,Saury,French Oak,KT Imm M+,customer name,Saury Botte 400L Imm M+,Saury French Oak Botte 400L Immersion M+,Y
6910,Saury,KT Imm M+ TH,Euro,1103,1126,1540,1590,1490,1525,Botte 400L,2yr,Immersion,M+ TH,Fine,French Oak,ex W,,Immersion M+ TH,6910,Saury,French Oak,KT Imm M+ TH,customer name,Saury Botte 400L Imm M+ TH,Saury French Oak Botte 400L Immersion M+ TH,Y
6911,Saury,KT Imm Lumiere,Euro,1103,1126,1520,1570,1470,1505,Botte 400L,2yr,Immersion,Lumiere,Fine,French Oak,ex W,,Immersion Lumiere,6911,Saury,French Oak,KT Imm Lumiere,customer name,Saury Botte 400L Imm Lumiere,Saury French Oak Botte 400L Immersion Lumiere,Y
6912,Saury,KT Imm Lumiere TH,Euro,1103,1126,1540,1590,1490,1525,Botte 400L,2yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,Immersion Lumiere TH,6912,Saury,French Oak,KT Imm Lumiere TH,customer name,Saury Botte 400L Imm Lumiere TH,Saury French Oak Botte 400L Immersion Lumiere TH,Y
6913,Saury,KT 3yr M,Euro,1126,1148,1550,1600,1500,1535,Botte 400L,3yr,Fire,M,Fine,French Oak,ex W,,3yr M,6913,Saury,French Oak,KT 3yr M,customer name,Saury Botte 400L 3yr M,Saury French Oak Botte 400L 3yr Fire M,Y
